symbol,name,type,pair_code
BTCUSDT,BTC,GLOBAL,BTCUSDT
ETHUSDT,ETH,GLOBAL,ETHUSDT
BNBUSDT,BNB,GLOBAL,BNBUSDT
NEOUSDT,NEO,GLOBAL,NEOUSDT
LTCUSDT,LTC,GLOBAL,LTCUSDT
QTUMUSDT,QTUM,GLOBAL,QTUMUSDT
ADAUSDT,ADA,GLOBAL,ADAUSDT
XRPUSDT,XRP,GLOBAL,XRPUSDT
TUSDUSDT,TUSD,GLOBAL,TUSDUSDT
IOTAUSDT,IOTA,GLOBAL,IOTAUSDT
XLMUSDT,XLM,GLOBAL,XLMUSDT
ONTUSDT,ONT,GLOBAL,ONTUSDT
TRXUSDT,TRX,GLOBAL,TRXUSDT
ETCUSDT,ETC,GLOBAL,ETCUSDT
ICXUSDT,ICX,GLOBAL,ICXUSDT
VETUSDT,VET,GLOBAL,VETUSDT
USDCUSDT,USDC,GLOBAL,USDCUSDT
LINKUSDT,LINK,GLOBAL,LINKUSDT
ONGUSDT,ONG,GLOBAL,ONGUSDT
HOTUSDT,HOT,GLOBAL,HOTUSDT
ZILUSDT,ZIL,GLOBAL,ZILUSDT
ZRXUSDT,ZRX,GLOBAL,ZRXUSDT
FETUSDT,FET,GLOBAL,FETUSDT
BATUSDT,BAT,GLOBAL,BATUSDT
ZECUSDT,ZEC,GLOBAL,ZECUSDT
IOSTUSDT,IOST,GLOBAL,IOSTUSDT
CELRUSDT,CELR,GLOBAL,CELRUSDT
DASHUSDT,DASH,GLOBAL,DASHUSDT
THETAUSDT,THETA,GLOBAL,THETAUSDT
ENJUSDT,ENJ,GLOBAL,ENJUSDT
ATOMUSDT,ATOM,GLOBAL,ATOMUSDT
TFUELUSDT,TFUEL,GLOBAL,TFUELUSDT
ONEUSDT,ONE,GLOBAL,ONEUSDT
ALGOUSDT,ALGO,GLOBAL,ALGOUSDT
DOGEUSDT,DOGE,GLOBAL,DOGEUSDT
DUSKUSDT,DUSK,GLOBAL,DUSKUSDT
ANKRUSDT,ANKR,GLOBAL,ANKRUSDT
WINUSDT,WIN,GLOBAL,WINUSDT
COSUSDT,COS,GLOBAL,COSUSDT
MTLUSDT,MTL,GLOBAL,MTLUSDT
DENTUSDT,DENT,GLOBAL,DENTUSDT
WANUSDT,WAN,GLOBAL,WANUSDT
FUNUSDT,FUN,GLOBAL,FUNUSDT
CVCUSDT,CVC,GLOBAL,CVCUSDT
CHZUSDT,CHZ,GLOBAL,CHZUSDT
BANDUSDT,BAND,GLOBAL,BANDUSDT
XTZUSDT,XTZ,GLOBAL,XTZUSDT
RVNUSDT,RVN,GLOBAL,RVNUSDT
HBARUSDT,HBAR,GLOBAL,HBARUSDT
NKNUSDT,NKN,GLOBAL,NKNUSDT
STXUSDT,STX,GLOBAL,STXUSDT
KAVAUSDT,KAVA,GLOBAL,KAVAUSDT
ARPAUSDT,ARPA,GLOBAL,ARPAUSDT
IOTXUSDT,IOTX,GLOBAL,IOTXUSDT
RLCUSDT,RLC,GLOBAL,RLCUSDT
BCHUSDT,BCH,GLOBAL,BCHUSDT
FTTUSDT,FTT,GLOBAL,FTTUSDT
EURUSDT,EUR,GLOBAL,EURUSDT
OGNUSDT,OGN,GLOBAL,OGNUSDT
LSKUSDT,LSK,GLOBAL,LSKUSDT
BNTUSDT,BNT,GLOBAL,BNTUSDT
MBLUSDT,MBL,GLOBAL,MBLUSDT
COTIUSDT,COTI,GLOBAL,COTIUSDT
DATAUSDT,DATA,GLOBAL,DATAUSDT
SOLUSDT,SOL,GLOBAL,SOLUSDT
CTSIUSDT,CTSI,GLOBAL,CTSIUSDT
HIVEUSDT,HIVE,GLOBAL,HIVEUSDT
CHRUSDT,CHR,GLOBAL,CHRUSDT
ARDRUSDT,ARDR,GLOBAL,ARDRUSDT
MDTUSDT,MDT,GLOBAL,MDTUSDT
KNCUSDT,KNC,GLOBAL,KNCUSDT
LRCUSDT,LRC,GLOBAL,LRCUSDT
COMPUSDT,COMP,GLOBAL,COMPUSDT
SCUSDT,SC,GLOBAL,SCUSDT
ZENUSDT,ZEN,GLOBAL,ZENUSDT
SNXUSDT,SNX,GLOBAL,SNXUSDT
VTHOUSDT,VTHO,GLOBAL,VTHOUSDT
DGBUSDT,DGB,GLOBAL,DGBUSDT
SXPUSDT,SXP,GLOBAL,SXPUSDT
DCRUSDT,DCR,GLOBAL,DCRUSDT
STORJUSDT,STORJ,GLOBAL,STORJUSDT
MANAUSDT,MANA,GLOBAL,MANAUSDT
YFIUSDT,YFI,GLOBAL,YFIUSDT
JSTUSDT,JST,GLOBAL,JSTUSDT
CRVUSDT,CRV,GLOBAL,CRVUSDT
SANDUSDT,SAND,GLOBAL,SANDUSDT
NMRUSDT,NMR,GLOBAL,NMRUSDT
DOTUSDT,DOT,GLOBAL,DOTUSDT
LUNAUSDT,LUNA,GLOBAL,LUNAUSDT
RSRUSDT,RSR,GLOBAL,RSRUSDT
PAXGUSDT,PAXG,GLOBAL,PAXGUSDT
TRBUSDT,TRB,GLOBAL,TRBUSDT
SUSHIUSDT,SUSHI,GLOBAL,SUSHIUSDT
KSMUSDT,KSM,GLOBAL,KSMUSDT
EGLDUSDT,EGLD,GLOBAL,EGLDUSDT
DIAUSDT,DIA,GLOBAL,DIAUSDT
RUNEUSDT,RUNE,GLOBAL,RUNEUSDT
FIOUSDT,FIO,GLOBAL,FIOUSDT
UMAUSDT,UMA,GLOBAL,UMAUSDT
BELUSDT,BEL,GLOBAL,BELUSDT
UNIUSDT,UNI,GLOBAL,UNIUSDT
OXTUSDT,OXT,GLOBAL,OXTUSDT
